1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;9562000;Erlangen;insg.;953;569;384;12;8;4;61;39;22;73;47;26;75;35;40;67;35;32;684;419;265;54;33;21;738;452;286
------;Straftaten insgesamt;5113000;Essen;voll.;8,112;4,519;3,593;113;51;62;534;278;256;647;329;318;670;359;311;547;269;278;5,751;3,279;2,472;497;283;214;6,248;3,562;2,686
------;Straftaten insgesamt;5113000;Essen;vers.;595;355;240;6;2;4;45;25;20;51;27;24;48;33;15;41;25;16;395;238;157;60;32;28;455;270;185
------;Straftaten insgesamt;5113000;Essen;insg.;8,707;4,874;3,833;119;53;66;579;303;276;698;356;342;718;392;326;588;294;294;6,146;3,517;2,629;557;315;242;6,703;3,832;2,871
------;Straftaten insgesamt;6412000;Frankfurt am Main;voll.;12,041;7,575;4,466;108;58;50;428;249;179;536;307;229;667;379;288;802;464;338;9,316;6,003;3,313;720;422;298;10,036;6,425;3,611
------;Straftaten insgesamt;6412000;Frankfurt am Main;vers.;881;611;270;15;14;1;21;10;11;36;24;12;46;30;16;55;37;18;673;479;194;71;41;30;744;520;224
------;Straftaten insgesamt;6412000;Frankfurt am Main;insg.;12,922;8,186;4,736;123;72;51;449;259;190;572;331;241;713;409;304;857;501;356;9,989;6,482;3,507;791;463;328;10,780;6,945;3,835
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;voll.;3,673;2,447;1,226;32;20;12;163;90;73;195;110;85;241;138;103;301;204;97;2,722;1,858;864;214;137;77;2,936;1,995;941
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;vers.;279;207;72;7;4;3;9;4;5;16;8;8;18;12;6;22;14;8;204;164;40;19;9;10;223;173;50
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;insg.;3,952;2,654;1,298;39;24;15;172;94;78;211;118;93;259;150;109;323;218;105;2,926;2,022;904;233;146;87;3,159;2,168;991
------;Straftaten insgesamt;9563000;Fürth;voll.;786;464;322;6;2;4;43;26;17;49;28;21;73;36;37;47;30;17;561;340;221;56;30;26;617;370;247
------;Straftaten insgesamt;9563000;Fürth;vers.;68;48;20;0;0;0;2;1;1;2;1;1;8;6;2;2;2;0;51;36;15;5;3;2;56;39;17
------;Straftaten insgesamt;9563000;Fürth;insg.;854;512;342;6;2;4;45;27;18;51;29;22;81;42;39;49;32;17;612;376;236;61;33;28;673;409;264
